text,place,uri,collector,area,lat,lon
Τση νύχτας τα καμώματα τα γλέπ' η μέρα και γελάει,Ήπειρος>Λοζέτσι,http://hdl.handle.net/20.500.11853/287505,"Λιουδάκη, Μαρία",Ήπειρος,37.9982534,23.7378671
"Ε, του μπαίν' ο Μάϊς στη θύρα",Ήπειρος,http://hdl.handle.net/20.500.11853/256171,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671
Τόβαλι τα δυό πουδάρια σ' ένα παπούτσ',Ήπειρος,http://hdl.handle.net/20.500.11853/168998,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671
Είνε για το νάρθηκα,Ήπειρος>Τσαμαντάς,http://hdl.handle.net/20.500.11853/237924,"Νίτσος, Νικόλαος",Ήπειρος,37.9982534,23.7378671
Απέθανα 'ς τα γέλια,Ήπειρος>Ζαγόρι>Βίτσα,http://hdl.handle.net/20.500.11853/168421,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
"Δεν είμαι παραφαγάρ'ς, μόν' είμαι παραπονιάρ'ς",Ήπειρος>Κόνιτσα,http://hdl.handle.net/20.500.11853/248496,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671
Του ψάρ' βρουμάει απού του κιφάλ',Ήπειρος>Δολιανά,http://hdl.handle.net/20.500.11853/205357,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
Ο βλάχος κι αν αγιάση κερί μη τ' ανάφτης,Ήπειρος>Κόνιτσα,http://hdl.handle.net/20.500.11853/155978,"Οικονομίδης, Δημήτριος Β.",Ήπειρος,37.9982534,23.7378671
Όμοιος στον όμοιο κ' η κουπριγιά στα λάχανα,Ήπειρος>Κόνιτσα,http://hdl.handle.net/20.500.11853/215034,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671
Ίσα 'ν' τα μάτια του λαγού ίσα της κουκουβάγιας,Ήπειρος>Ζαγόρι>Βίτσα,http://hdl.handle.net/20.500.11853/168464,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
Ο δέντρος μέ μιά τσεκουριά δέν κόβεται,Ήπειρος,http://hdl.handle.net/20.500.11853/167043,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671
Το κάστανο θέλει κρασί και το καρύδι μέλι και το κορίτσι φίλημα πρωϊ και μεσημέρι,Ήπειρος>Κόνιτσα,http://hdl.handle.net/20.500.11853/270797,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671
