text,place,uri,collector,area,lat,lon
Πιοιός του κριμάει του γκ'δούν' τ'ς γάτας,Ήπειρος>Δολιανά,http://hdl.handle.net/20.500.11853/170281,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
Τούτο δεν το χωρεί ο νους μου,Ήπειρος,http://hdl.handle.net/20.500.11853/287217,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
Του γάλα ως τ' ρούγα κι ου τραχανάς ως του χουράφ',Ήπειρος>Δολιανά,http://hdl.handle.net/20.500.11853/148753,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
"Όταν πιάνη ο θείος τη θειά σου, εσύ τσούλωνε τ' αυτιά σου",Ήπειρος,http://hdl.handle.net/20.500.11853/169344,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671
Τώβαλι τα δυό τα πουδάρια σ΄ένα τσαρούχ',Ήπειρος>Δολιανά,http://hdl.handle.net/20.500.11853/170449,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
Τι με μέλει για τς χώρας τα γελάδια,Ήπειρος>Ζαγόρι>Βίτσα,http://hdl.handle.net/20.500.11853/279715,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
"Ότι κάμ' ς π'αθ' ς, καρδιά μη σε πονέσ'",Ήπειρος>Κόνιτσα,http://hdl.handle.net/20.500.11853/239544,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671
"Ακόμα δεν τον είδαμαν, Γιάννη τον εβγάλαμεν",Ήπειρος>Κόνιτσα,http://hdl.handle.net/20.500.11853/198161,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671
Αυτός έχει το λύσε δέσε,Ήπειρος,http://hdl.handle.net/20.500.11853/172124,"Πολίτης, Ν. Δ.",Ήπειρος,37.9982534,23.7378671
"Όποιος ΄ξαδειάζει δεκοχτώ και δε ΄σοδειά τριάντα, ΄ς το χάψι τόνε βάνουνε και δεν κατέει γιάντα",Ήπειρος,http://hdl.handle.net/20.500.11853/290373,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
Σκρούξ' ο ήλιος,Ήπειρος>Ζαγόρι>Βίτσα,http://hdl.handle.net/20.500.11853/168455,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
Φάϊ απού λίγου κίπιασ' ένα δούλου,Ήπειρος>Δολιανά,http://hdl.handle.net/20.500.11853/170445,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
Πιρ' σότιρα αρνιά σφάζ' ν 'μβασκαλιά,Ήπειρος>Δολιανά,http://hdl.handle.net/20.500.11853/148646,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
Παρηγοριά στουν άρρουστου όσου να βγη η ψυχή του,Ήπειρος>Δολιανά,http://hdl.handle.net/20.500.11853/256434,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
