text,place,uri,collector,area,lat,lon
"Όντα διψάι η αυλή σ', μη δίνς τ' αλνού",Ήπειρος>Ζαγόρι,http://hdl.handle.net/20.500.11853/186410,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671
Απού τα χ'μένα μαζουμένα,Ήπειρος>Δολιανά,http://hdl.handle.net/20.500.11853/277495,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
Είπε ν' αιάσ' κι ξιπάιασι,Ήπειρος>Ζαγόρι,http://hdl.handle.net/20.500.11853/186303,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671
Μ' έχ' στο γλούπο,Ήπειρος>Κόνιτσα,http://hdl.handle.net/20.500.11853/198237,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671
"Βάλε το λύκο πιστικό, το σκύλο τυροκόμπον",Ήπειρος,http://hdl.handle.net/20.500.11853/277453,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671
Παίρνει και το χοτζιέτ' από το σπίτι,Ήπειρος>Κόνιτσα>Βούρμπιανη,http://hdl.handle.net/20.500.11853/256765,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671
Τς έμασαν σαν τα γίδια 'ς τ' άλας,Ήπειρος>Ζαγόρι>Βίτσα,http://hdl.handle.net/20.500.11853/277415,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
Βαστά λιβάνι καί κερί,Ήπειρος,http://hdl.handle.net/20.500.11853/277043,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
"Δεν είμαι παραφαγάρις, μόν' είμαι παραπονιάρις",Ήπειρος>Κόνιτσα>Βούρμπιανη,http://hdl.handle.net/20.500.11853/256777,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671
Θα κάμει τρύπα στο νερό,Ήπειρος,http://hdl.handle.net/20.500.11853/285970,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671
"Μια πέτρα ρίχν' ο τρελλός στο ποτάμι, αλλά χίλιοι φρόνιμοι δεν την βγάζουν",Ήπειρος,http://hdl.handle.net/20.500.11853/284032,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671
Τους έβγαλι στουν ήλιον να ψειρίζητι,Ήπειρος>Δολιανά,http://hdl.handle.net/20.500.11853/170485,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
Λάχανα έφαϊς λάχανα μουλουγάς,Ήπειρος>Δολιανά,http://hdl.handle.net/20.500.11853/281869,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
"Δεν έχουν να φαν οι ζωντανοί, θέλουν κ' οι απεθαμμένοι",Ήπειρος,http://hdl.handle.net/20.500.11853/255909,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671
"Άναψε του διαβόλου κηρί, να σε κάμη να χεστής",Ήπειρος,http://hdl.handle.net/20.500.11853/169293,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671
Το 'κοψε πέρα περού,Ήπειρος,http://hdl.handle.net/20.500.11853/212982,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
Γριά το μισοχείμωνο ξυλάγγουρο γυρεύει,Ήπειρος,http://hdl.handle.net/20.500.11853/169323,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671
Μαύρος σαν καπνιά,Ήπειρος>Ζαγόρι>Βίτσα,http://hdl.handle.net/20.500.11853/279718,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
